Data length, Time, Total bytes, Data rate, Errors
38000, 1.010, 59793, 59200.992, 0
38000, 0.751, 59793, 79617.844, 0
38000, 1.001, 59793, 59733.266, 0
38000, 1.105, 59793, 54111.312, 0
38000, 1.068, 59793, 55985.957, 0
38000, 1.050, 59793, 56945.719, 0
38000, 1.016, 59793, 58851.375, 0
39000, 1.082, 59793, 55261.551, 0
39000, 1.159, 59793, 51590.164, 0
39000, 1.039, 59793, 57548.602, 0
39000, 1.019, 59793, 58678.113, 0
39000, 2.313, 59793, 25850.844, 0
39000, 1.006, 59793, 59436.379, 0
39000, 0.722, 59793, 82815.789, 0
39000, 1.039, 59793, 57548.602, 0
39000, 1.020, 59793, 58620.590, 0
39000, 1.193, 59793, 50119.867, 0
39000, 1.088, 59793, 54956.797, 0
39000, 1.054, 59793, 56729.602, 0
39000, 1.065, 59793, 56143.660, 0
39000, 1.037, 59793, 57659.598, 0
39000, 1.261, 59793, 47417.129, 0
39000, 0.554, 59793, 107929.602, 0
39000, 0.978, 59793, 61138.039, 0
39000, 1.052, 59793, 56837.449, 0
39000, 0.701, 59793, 85296.719, 0
39000, 1.096, 59793, 54555.660, 0
40000, 1.067, 59793, 56038.426, 0
40000, 0.971, 59793, 61578.785, 0
40000, 1.053, 59793, 56783.477, 0
40000, 1.014, 59793, 58967.453, 0
40000, 1.050, 59793, 56945.719, 0
40000, 1.051, 59793, 56891.531, 0
40000, 1.009, 59793, 59259.668, 0
40000, 1.200, 59793, 49827.496, 0
40000, 1.091, 59793, 54805.684, 0
40000, 1.233, 59793, 48493.914, 0
40000, 0.993, 59793, 60214.504, 0
40000, 0.970, 59793, 61642.266, 0
40000, 1.052, 59793, 56837.449, 0
40000, 1.074, 59793, 55673.184, 0
40000, 1.115, 59793, 53626.008, 0
40000, 1.255, 59793, 47643.824, 0
40000, 1.122, 59793, 53291.445, 0
40000, 0.565, 59793, 105828.320, 0
40000, 0.967, 59793, 61833.504, 0
40000, 1.056, 59793, 56622.160, 0
41000, 1.002, 59793, 59673.652, 0
41000, 0.877, 59793, 68179.023, 0
41000, 0.725, 59793, 82473.102, 0
41000, 1.086, 59793, 55058.012, 0
41000, 0.709, 59793, 84334.273, 0
41000, 1.097, 59793, 54505.926, 0
41000, 1.102, 59793, 54258.621, 0
41000, 1.154, 59793, 51813.691, 0
41000, 1.012, 59793, 59083.996, 0
41000, 0.988, 59793, 60519.230, 0
41000, 0.954, 59793, 62676.102, 0
41000, 1.268, 59793, 47155.363, 0
41000, 1.100, 59793, 54357.273, 0
41000, 1.061, 59793, 56355.324, 0
41000, 1.089, 59793, 54906.336, 0
41000, 1.022, 59793, 58505.875, 0
41000, 1.155, 59793, 51768.832, 0
41000, 0.909, 59793, 65778.883, 0
41000, 1.168, 59793, 51192.637, 0
41000, 0.718, 59793, 83277.156, 0
42000, 1.012, 59793, 59083.996, 0
42000, 1.111, 59793, 53819.086, 0
42000, 1.081, 59793, 55312.676, 0
42000, 0.992, 59793, 60275.203, 0
42000, 1.103, 59793, 54209.426, 0
42000, 0.901, 59793, 66362.930, 0
42000, 0.994, 59793, 60153.922, 0
42000, 1.267, 59793, 47192.582, 0
42000, 0.991, 59793, 60336.023, 0
42000, 1.098, 59793, 54456.281, 0
42000, 1.097, 59793, 54505.926, 0
42000, 1.015, 59793, 58909.359, 0
42000, 1.229, 59793, 48651.750, 0
42000, 1.078, 59793, 55466.609, 0
